  Frequency            , V(Vout)              , V(Vout) / V(Vs)      , ABS(V(Vout)) / V(Vs) , DB(ABS(V(Vout)/ V(Vs)))
  1.000000000000e+002  ,2.499999506520e+000  ,9.999998026080e-001  ,9.999998026080e-001  ,-1.714525552883e-006  
  1.104089513674e+002  ,2.499999398441e+000  ,9.999997593764e-001  ,9.999997593764e-001  ,-2.090029968498e-006  
  1.219013654204e+002  ,2.499999266692e+000  ,9.999997066766e-001  ,9.999997066766e-001  ,-2.547774937757e-006  
  1.345900192632e+002  ,2.499999106087e+000  ,9.999996424348e-001  ,9.999996424348e-001  ,-3.105772236721e-006  
  1.485994289137e+002  ,2.499998910308e+000  ,9.999995641232e-001  ,9.999995641232e-001  ,-3.785978466725e-006  
  1.640670712015e+002  ,2.499998671651e+000  ,9.999994686603e-001  ,9.999994686603e-001  ,-4.615159002834e-006  
  1.811447328528e+002  ,2.499998380724e+000  ,9.999993522898e-001  ,9.999993522898e-001  ,-5.625941186082e-006  
  2.000000000000e+002  ,2.499998026081e+000  ,9.999992104326e-001  ,9.999992104326e-001  ,-6.858098154333e-006  
  2.208179027348e+002  ,2.499997593767e+000  ,9.999990375068e-001  ,9.999990375068e-001  ,-8.360113845091e-006  
  2.438027308409e+002  ,2.499997066770e+000  ,9.999988267080e-001  ,9.999988267080e-001  ,-1.019109077776e-005  
  2.691800385265e+002  ,2.499996424354e+000  ,9.999985697416e-001  ,9.999985697416e-001  ,-1.242307561849e-005  
  2.971988578274e+002  ,2.499995641241e+000  ,9.999982564963e-001  ,9.999982564963e-001  ,-1.514389406111e-005  
  3.281341424031e+002  ,2.499994686616e+000  ,9.999978746464e-001  ,9.999978746464e-001  ,-1.846060659019e-005  
  3.622894657056e+002  ,2.499993522917e+000  ,9.999974091667e-001  ,9.999974091667e-001  ,-2.250372102224e-005  
  4.000000000000e+002  ,2.499992104354e+000  ,9.999968417416e-001  ,9.999968417416e-001  ,-2.743232763150e-005  
  4.416358054695e+002  ,2.499990375110e+000  ,9.999961500438e-001  ,9.999961500438e-001  ,-3.344035882016e-005  
  4.876054616818e+002  ,2.499988267142e+000  ,9.999953068568e-001  ,9.999953068568e-001  ,-4.076421962959e-005  
  5.383600770529e+002  ,2.499985697508e+000  ,9.999942790032e-001  ,9.999942790032e-001  ,-4.969208925778e-005  
  5.943977156548e+002  ,2.499982565100e+000  ,9.999930260399e-001  ,9.999930260399e-001  ,-6.057525941302e-005  
  6.562682848061e+002  ,2.499978746667e+000  ,9.999914986668e-001  ,9.999914986668e-001  ,-7.384195554575e-005  
  7.245789314111e+002  ,2.499974091969e+000  ,9.999896367877e-001  ,9.999896367877e-001  ,-9.001418446485e-005  
  8.000000000000e+002  ,2.499968417864e+000  ,9.999873671458e-001  ,9.999873671458e-001  ,-1.097282708848e-004  
  8.832716109390e+002  ,2.499961501105e+000  ,9.999846004421e-001  ,9.999846004421e-001  ,-1.337598903792e-004  
  9.752109233636e+002  ,2.499953069559e+000  ,9.999812278236e-001  ,9.999812278236e-001  ,-1.630545828250e-004  
  1.076720154106e+003  ,2.499942791504e+000  ,9.999771166018e-001  ,9.999771166018e-001  ,-1.987649456509e-004  
  1.188795431310e+003  ,2.499930262587e+000  ,9.999721050348e-001  ,9.999721050348e-001  ,-2.422959684000e-004  
  1.312536569612e+003  ,2.499914989920e+000  ,9.999659959682e-001  ,9.999659959682e-001  ,-2.953602893834e-004  
  1.449157862822e+003  ,2.499896372710e+000  ,9.999585490840e-001  ,9.999585490840e-001  ,-3.600455443067e-004  
  1.600000000000e+003  ,2.499873678639e+000  ,9.999494714554e-001  ,9.999494714554e-001  ,-4.388964502432e-004  
  1.766543221878e+003  ,2.499846015092e+000  ,9.999384060367e-001  ,9.999384060367e-001  ,-5.350148449889e-004  
  1.950421846727e+003  ,2.499812294092e+000  ,9.999249176369e-001  ,9.999249176369e-001  ,-6.521816034935e-004  
  2.153440308212e+003  ,2.499771189579e+000  ,9.999084758317e-001  ,9.999084758317e-001  ,-7.950052068011e-004  
